Description,CallType
UNITS ON SURVEILLANC,MISC POLICING
UNLAWFUL DETAINER,SERVICE
UNLAWFUL SEXUAL INTE,VIOLENT CRIME
UNSECURED PREMISE,SERVICE
USE OF FORCE,MISC POLICING
USE OF/UNDER INFLUEN,MEDICAL
VANDALISM,311 FILE ONLINE
VEH PARKED IN SIGNED,311 FILE ONLINE
VEHICLE COLLISION,TRAFFIC
VEHICLE PARKED ON SI,TRAFFIC
VEHICLE TAMPERING,REPORT ONLINE OPD
VICIOUS ANIMAL,SERVICE
VICTIM,MISC POLICING
VIDEO EVIDENCE,NON EMERGENCY OFFICER REQUIRED
VIN VERIFICATION,MISC POLICING
VIOLATION OF COURT O,SERVICE
VIOLATION OF CUSTODY,SERVICE
WAGON,MISC POLICING
WALK THROUGH,SOCIETY
WALKING BEAT,MISC POLICING
WALKING STOP,MISC POLICING
WALKING STOP--COVER,MISC POLICING
WARRANT SERVICE,SERVICE
WARRIOR'S GAME,MISC POLICING
WASHDOWN,MISC POLICING
WATER,OTHER
WELFARE CHECK -- CHE,SOCIETY
WILLFUL CRUELTY TO C,VIOLENT CRIME
WIRES,311 URGENT
WITNESS,OTHER
YELLOW ALERT AT THE,MISC POLICING
